IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.249.41,2052,2052,false,SIN,Asia Pacific,Singapore,37,14.50
47.236.173.200,80,80,false,SIN,Asia Pacific,Singapore,11,14.49
47.237.3.57,2095,2095,false,SIN,Asia Pacific,Singapore,13,14.49
8.219.100.168,2052,2052,false,SIN,Asia Pacific,Singapore,13,14.48
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,16,14.48
8.219.90.196,2087,2087,true,SIN,Asia Pacific,Singapore,123,14.47
8.219.200.145,2053,2053,true,SIN,Asia Pacific,Singapore,205,14.47
8.219.253.185,2096,2096,true,SIN,Asia Pacific,Singapore,170,14.46
8.219.202.130,2053,2053,true,SIN,Asia Pacific,Singapore,142,14.46
8.219.106.15,8080,8080,false,SIN,Asia Pacific,Singapore,17,14.45
8.219.167.65,8080,8080,false,SIN,Asia Pacific,Singapore,18,14.45
8.219.103.65,8080,8080,false,SIN,Asia Pacific,Singapore,17,14.45
8.222.140.185,2086,2086,false,SIN,Asia Pacific,Singapore,8,14.45
47.236.206.153,2086,2086,false,SIN,Asia Pacific,Singapore,15,14.45
8.219.193.202,8880,8880,false,SIN,Asia Pacific,Singapore,18,14.45
47.236.130.95,80,80,false,SIN,Asia Pacific,Singapore,20,14.45
8.222.213.221,2053,2053,true,SIN,Asia Pacific,Singapore,67,14.45
47.236.202.91,2053,2053,true,SIN,Asia Pacific,Singapore,118,14.44
8.219.201.8,2095,2095,false,SIN,Asia Pacific,Singapore,15,14.44
8.219.253.114,80,80,false,SIN,Asia Pacific,Singapore,17,14.44
8.222.187.107,80,80,false,SIN,Asia Pacific,Singapore,15,14.43
8.222.193.65,8080,8080,false,SIN,Asia Pacific,Singapore,5,14.43
8.219.249.38,8443,8443,true,SIN,Asia Pacific,Singapore,75,14.43
8.219.56.205,2083,2083,true,SIN,Asia Pacific,Singapore,98,14.43
47.236.82.218,8443,8443,true,SIN,Asia Pacific,Singapore,74,14.43
8.222.154.227,80,80,false,SIN,Asia Pacific,Singapore,6,14.42
8.219.56.205,8880,8880,false,SIN,Asia Pacific,Singapore,26,14.42
8.219.248.170,2083,2083,true,SIN,Asia Pacific,Singapore,123,14.42
47.236.79.87,80,80,false,SIN,Asia Pacific,Singapore,27,14.42
47.236.227.21,2053,2053,true,SIN,Asia Pacific,Singapore,145,14.42
8.222.248.188,8880,8880,false,SIN,Asia Pacific,Singapore,4,14.42
47.236.146.249,8880,8880,false,SIN,Asia Pacific,Singapore,16,14.41
47.236.149.107,8080,8080,false,SIN,Asia Pacific,Singapore,8,14.41
47.237.22.45,2086,2086,false,SIN,Asia Pacific,Singapore,5,14.39
8.222.187.107,2083,2083,true,SIN,Asia Pacific,Singapore,109,14.39
8.218.142.253,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,14.39
47.236.164.215,2083,2083,true,SIN,Asia Pacific,Singapore,67,14.39
47.236.166.184,80,80,false,SIN,Asia Pacific,Singapore,18,14.39
8.219.210.64,2083,2083,true,SIN,Asia Pacific,Singapore,96,14.39
47.236.114.23,80,80,false,SIN,Asia Pacific,Singapore,19,14.38
8.219.74.35,2096,2096,true,SIN,Asia Pacific,Singapore,95,14.38
47.236.174.206,8880,8880,false,SIN,Asia Pacific,Singapore,16,14.38
8.222.167.8,2052,2052,false,SIN,Asia Pacific,Singapore,7,14.38
8.219.82.35,443,443,true,SIN,Asia Pacific,Singapore,71,14.38
8.222.221.109,2086,2086,false,SIN,Asia Pacific,Singapore,10,14.38
47.236.204.152,2083,2083,true,SIN,Asia Pacific,Singapore,95,14.37
8.217.207.60,2053,2053,true,HKG,Asia Pacific,Hong Kong,80,14.37
8.219.151.193,2052,2052,false,SIN,Asia Pacific,Singapore,9,14.37
8.219.142.229,443,443,true,SIN,Asia Pacific,Singapore,190,14.37
47.236.99.131,2087,2087,true,SIN,Asia Pacific,Singapore,121,14.36
8.219.220.122,8443,8443,true,SIN,Asia Pacific,Singapore,136,14.36
8.219.72.50,8080,8080,false,SIN,Asia Pacific,Singapore,12,14.36
47.236.145.85,2096,2096,true,SIN,Asia Pacific,Singapore,130,14.36
47.236.29.235,8880,8880,false,SIN,Asia Pacific,Singapore,16,14.35
8.219.86.200,2096,2096,true,SIN,Asia Pacific,Singapore,133,14.35
47.236.116.182,80,80,false,SIN,Asia Pacific,Singapore,7,14.35
8.219.164.237,443,443,true,SIN,Asia Pacific,Singapore,117,14.35
8.219.70.117,2083,2083,true,SIN,Asia Pacific,Singapore,224,14.35
8.219.188.162,80,80,false,SIN,Asia Pacific,Singapore,16,14.34
8.219.51.49,2087,2087,true,SIN,Asia Pacific,Singapore,104,14.33
8.219.106.15,2082,2082,false,SIN,Asia Pacific,Singapore,14,14.33
