IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
130.162.191.116,443,443,true,FRA,Europe,DE,Frankfurt,331,10.31
79.72.68.109,443,443,true,FRA,Europe,DE,Frankfurt,226,10.29
138.2.141.17,443,443,true,FRA,Europe,DE,Frankfurt,307,10.29
152.70.117.174,443,443,true,SJC,North America,US,San Jose,265,10.28
152.70.166.137,443,443,true,FRA,Europe,DE,Frankfurt,301,10.28
152.67.146.202,443,443,true,FRA,Europe,DE,Frankfurt,378,10.27
152.70.56.238,443,443,true,FRA,Europe,DE,Frankfurt,309,10.27
158.101.207.237,443,443,true,FRA,Europe,DE,Frankfurt,185,10.27
143.47.185.89,443,443,true,ORD,North America,US,Chicago,327,10.26
89.168.85.134,443,443,true,ORD,North America,US,Chicago,339,10.23
141.148.247.219,443,443,true,FRA,Europe,DE,Frankfurt,306,10.21
158.178.153.232,443,443,true,FRA,Europe,DE,Frankfurt,353,10.17
84.8.152.27,443,443,true,FRA,Europe,DE,Frankfurt,256,10.17
141.148.242.132,443,443,true,FRA,Europe,DE,Frankfurt,303,10.17
89.168.94.53,443,443,true,FRA,Europe,DE,Frankfurt,319,10.17
132.226.215.209,443,443,true,FRA,Europe,DE,Frankfurt,297,10.17
132.145.248.250,443,443,true,FRA,Europe,DE,Frankfurt,240,10.17
138.2.153.231,443,443,true,CDG,Europe,FR,Paris,224,10.15
141.144.195.69,443,443,true,FRA,Europe,DE,Frankfurt,237,10.11
193.123.60.193,443,443,true,FRA,Europe,DE,Frankfurt,303,10.11
89.168.104.197,443,443,true,FRA,Europe,DE,Frankfurt,297,10.11
144.21.42.82,443,443,true,FRA,Europe,DE,Frankfurt,242,10.10
141.144.192.211,443,443,true,FRA,Europe,DE,Frankfurt,237,10.09
130.162.217.10,443,443,true,FRA,Europe,DE,Frankfurt,186,10.09
130.162.239.148,443,443,true,CDG,Europe,FR,Paris,178,10.09
144.21.38.178,443,443,true,FRA,Europe,DE,Frankfurt,271,10.07
84.8.145.114,443,443,true,FRA,Europe,DE,Frankfurt,438,10.05
129.159.10.127,443,443,true,FRA,Europe,DE,Frankfurt,202,10.05
130.61.203.115,2053,443,true,FRA,Europe,DE,Frankfurt,293,10.04
130.162.185.250,443,443,true,FRA,Europe,DE,Frankfurt,276,10.03
193.123.37.117,443,443,true,FRA,Europe,DE,Frankfurt,376,10.02
129.146.46.164,443,443,true,LAX,North America,US,Los Angeles,207,10.02
138.2.134.194,443,443,true,FRA,Europe,DE,Frankfurt,247,10.02
141.147.48.221,443,443,true,FRA,Europe,DE,Frankfurt,317,10.02
138.2.23.42,443,443,true,LAX,North America,US,Los Angeles,269,10.01
141.144.245.218,443,443,true,FRA,Europe,DE,Frankfurt,371,10.00
158.180.34.130,443,443,true,FRA,Europe,DE,Frankfurt,294,10.00
89.168.98.210,443,443,true,FRA,Europe,DE,Frankfurt,311,9.99
138.2.148.102,443,443,true,FRA,Europe,DE,Frankfurt,303,9.98
144.21.63.165,443,443,true,FRA,Europe,DE,Frankfurt,277,9.97
158.101.188.107,443,443,true,FRA,Europe,DE,Frankfurt,313,9.97
84.235.164.68,443,443,true,FRA,Europe,DE,Frankfurt,183,9.95
130.162.177.185,443,443,true,FRA,Europe,DE,Frankfurt,271,9.94
158.101.218.141,443,443,true,FRA,Europe,DE,Frankfurt,185,9.92
192.9.250.241,443,443,true,SJC,North America,US,San Jose,199,9.92
129.159.198.251,443,443,true,AMS,Europe,NL,Amsterdam,252,9.89
79.72.68.64,443,443,true,FRA,Europe,DE,Frankfurt,368,9.88
150.230.113.229,443,443,true,FRA,Europe,DE,Frankfurt,236,9.88
130.162.177.120,443,443,true,FRA,Europe,DE,Frankfurt,208,9.88
