IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.167.65,2087,2087,TRUE,SIN,Asia Pacific,Singapore,99,13.85
8.219.240.141,8443,8443,TRUE,SIN,Asia Pacific,Singapore,148,13.84
8.222.144.50,2083,2083,TRUE,SIN,Asia Pacific,Singapore,90,13.84
8.219.101.138,2083,2083,TRUE,SIN,Asia Pacific,Singapore,73,13.83
47.245.114.163,2096,2096,TRUE,SIN,Asia Pacific,Singapore,75,13.8
47.236.204.152,2083,2083,TRUE,SIN,Asia Pacific,Singapore,58,13.8
47.236.97.90,2087,2087,TRUE,SIN,Asia Pacific,Singapore,82,13.79
8.219.170.58,8443,8443,TRUE,SIN,Asia Pacific,Singapore,119,13.79
8.219.253.185,2083,2083,TRUE,SIN,Asia Pacific,Singapore,142,13.79
8.222.169.182,2053,2053,TRUE,SIN,Asia Pacific,Singapore,128,13.79
8.219.60.130,2087,2087,TRUE,SIN,Asia Pacific,Singapore,126,13.79
8.219.206.180,2053,2053,TRUE,SIN,Asia Pacific,Singapore,125,13.78
8.219.101.138,2096,2096,TRUE,SIN,Asia Pacific,Singapore,85,13.77
8.219.185.191,2087,2087,TRUE,SIN,Asia Pacific,Singapore,160,13.77
47.236.79.77,2087,2087,TRUE,SIN,Asia Pacific,Singapore,135,13.77
8.219.184.92,2096,2096,TRUE,SIN,Asia Pacific,Singapore,64,13.77
8.219.90.196,2083,2083,TRUE,SIN,Asia Pacific,Singapore,110,13.76
47.236.158.158,2083,2083,TRUE,SIN,Asia Pacific,Singapore,115,13.76
8.222.211.16,2087,2087,TRUE,SIN,Asia Pacific,Singapore,107,13.76
47.236.97.111,8443,8443,TRUE,SIN,Asia Pacific,Singapore,137,13.75
8.219.161.129,2087,2087,TRUE,SIN,Asia Pacific,Singapore,137,13.74
8.219.70.151,443,443,TRUE,SIN,Asia Pacific,Singapore,29,13.74
8.222.130.156,2083,2083,TRUE,SIN,Asia Pacific,Singapore,93,13.74
8.222.187.4,2096,2096,TRUE,SIN,Asia Pacific,Singapore,44,13.74
8.222.211.16,2083,2083,TRUE,SIN,Asia Pacific,Singapore,74,13.73
8.219.210.64,2087,2087,TRUE,SIN,Asia Pacific,Singapore,75,13.73
8.219.213.84,2053,2053,TRUE,SIN,Asia Pacific,Singapore,133,13.72
47.236.121.7,2087,2087,TRUE,SIN,Asia Pacific,Singapore,134,13.72
8.219.100.168,2083,2083,TRUE,SIN,Asia Pacific,Singapore,39,13.72
8.222.229.22,8443,8443,TRUE,SIN,Asia Pacific,Singapore,116,13.72
47.236.112.193,2053,2053,TRUE,SIN,Asia Pacific,Singapore,125,13.71
47.245.110.13,8443,8443,TRUE,SIN,Asia Pacific,Singapore,39,13.71
8.219.170.223,2087,2087,TRUE,SIN,Asia Pacific,Singapore,223,13.71
8.219.93.5,2096,2096,TRUE,SIN,Asia Pacific,Singapore,106,13.71
47.236.76.199,2087,2087,TRUE,SIN,Asia Pacific,Singapore,110,13.71
47.236.83.196,2083,2083,TRUE,SIN,Asia Pacific,Singapore,106,13.71
47.241.209.61,443,443,TRUE,SIN,Asia Pacific,Singapore,48,13.7
8.219.249.148,2087,2087,TRUE,SIN,Asia Pacific,Singapore,131,13.7
8.219.50.180,8443,8443,TRUE,SIN,Asia Pacific,Singapore,93,13.68
47.236.94.113,2053,2053,TRUE,SIN,Asia Pacific,Singapore,137,13.68
47.236.180.51,8443,8443,TRUE,SIN,Asia Pacific,Singapore,87,13.68
8.222.166.117,2087,2087,TRUE,SIN,Asia Pacific,Singapore,107,13.67
8.222.134.170,8443,8443,TRUE,SIN,Asia Pacific,Singapore,153,13.67
47.236.93.176,2096,2096,TRUE,SIN,Asia Pacific,Singapore,126,13.66
8.222.229.102,8443,8443,TRUE,SIN,Asia Pacific,Singapore,139,13.66
47.236.31.73,2053,2053,TRUE,SIN,Asia Pacific,Singapore,155,13.66
47.236.170.54,8443,8443,TRUE,SIN,Asia Pacific,Singapore,141,13.66
8.219.11.158,2083,2083,TRUE,SIN,Asia Pacific,Singapore,172,13.66
8.217.49.234,443,443,TRUE,HKG,Asia Pacific,Hong Kong,62,13.65
8.222.198.105,2053,2053,TRUE,SIN,Asia Pacific,Singapore,272,13.65
8.222.167.147,2096,2096,TRUE,SIN,Asia Pacific,Singapore,155,13.64
47.236.204.110,2087,2087,TRUE,SIN,Asia Pacific,Singapore,82,13.64
47.236.253.41,2096,2096,TRUE,SIN,Asia Pacific,Singapore,72,13.64
8.219.173.195,2083,2083,TRUE,SIN,Asia Pacific,Singapore,99,13.64
47.236.83.239,2083,2083,TRUE,SIN,Asia Pacific,Singapore,108,13.63
47.236.123.133,2053,2053,TRUE,SIN,Asia Pacific,Singapore,130,13.62
8.219.141.174,2096,2096,TRUE,SIN,Asia Pacific,Singapore,78,13.61
47.236.88.181,2096,2096,TRUE,SIN,Asia Pacific,Singapore,156,13.61
8.222.244.123,2096,2096,TRUE,SIN,Asia Pacific,Singapore,140,13.6
8.222.204.110,2053,2053,TRUE,SIN,Asia Pacific,Singapore,84,13.6
8.222.190.225,2087,2087,TRUE,SIN,Asia Pacific,Singapore,37,13.59
8.219.170.232,2087,2087,TRUE,SIN,Asia Pacific,Singapore,98,13.59
8.222.167.147,2083,2083,TRUE,SIN,Asia Pacific,Singapore,162,13.58
8.222.212.172,2083,2083,TRUE,SIN,Asia Pacific,Singapore,46,13.57
8.222.224.162,2087,2087,TRUE,SIN,Asia Pacific,Singapore,82,13.56
8.222.252.123,2053,2053,TRUE,SIN,Asia Pacific,Singapore,66,13.55
8.218.18.235,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,43,13.55
8.219.99.169,2053,2053,TRUE,SIN,Asia Pacific,Singapore,124,13.55
47.236.82.218,2087,2087,TRUE,SIN,Asia Pacific,Singapore,70,13.55
47.236.11.84,2087,2087,TRUE,SIN,Asia Pacific,Singapore,145,13.54
47.241.209.61,443,443,TRUE,SIN,Asia Pacific,Singapore,65,13.54
8.219.167.113,2096,2096,TRUE,SIN,Asia Pacific,Singapore,166,13.53
8.222.168.155,2087,2087,TRUE,SIN,Asia Pacific,Singapore,145,13.53
8.219.188.162,443,443,TRUE,SIN,Asia Pacific,Singapore,131,13.53
8.222.172.23,2053,2053,TRUE,SIN,Asia Pacific,Singapore,93,13.52
8.222.240.47,2053,2053,TRUE,SIN,Asia Pacific,Singapore,61,13.52
8.219.201.174,443,443,TRUE,SIN,Asia Pacific,Singapore,111,13.51
8.219.3.53,8443,8443,TRUE,SIN,Asia Pacific,Singapore,2,13.51
8.219.184.92,8443,8443,TRUE,SIN,Asia Pacific,Singapore,282,13.51
8.222.222.64,2083,2083,TRUE,SIN,Asia Pacific,Singapore,47,13.51
8.222.141.240,2083,2083,TRUE,SIN,Asia Pacific,Singapore,57,13.49
47.236.116.182,2053,2053,TRUE,SIN,Asia Pacific,Singapore,51,13.48
8.219.228.157,2083,2083,TRUE,SIN,Asia Pacific,Singapore,46,13.48
8.222.211.16,2096,2096,TRUE,SIN,Asia Pacific,Singapore,208,13.47
8.219.210.226,8443,8443,TRUE,SIN,Asia Pacific,Singapore,130,13.47
8.219.153.136,2087,2087,TRUE,SIN,Asia Pacific,Singapore,152,13.46
47.236.194.67,2083,2083,TRUE,SIN,Asia Pacific,Singapore,119,13.46
47.237.19.161,2053,2053,TRUE,SIN,Asia Pacific,Singapore,63,13.45
8.219.60.68,443,443,TRUE,SIN,Asia Pacific,Singapore,82,13.44
8.219.113.232,2096,2096,TRUE,SIN,Asia Pacific,Singapore,146,13.44
47.236.204.110,2083,2083,TRUE,SIN,Asia Pacific,Singapore,120,13.43
47.236.7.206,2053,2053,TRUE,SIN,Asia Pacific,Singapore,132,13.43
8.219.161.102,2087,2087,TRUE,SIN,Asia Pacific,Singapore,135,13.42
8.219.153.136,2096,2096,TRUE,SIN,Asia Pacific,Singapore,85,13.42
8.222.197.251,443,443,TRUE,SIN,Asia Pacific,Singapore,97,13.42
8.219.114.201,2053,2053,TRUE,SIN,Asia Pacific,Singapore,115,13.41
8.219.159.232,2083,2083,TRUE,SIN,Asia Pacific,Singapore,119,13.41
8.222.129.32,2096,2096,TRUE,SIN,Asia Pacific,Singapore,95,13.4
47.236.123.133,8443,8443,TRUE,SIN,Asia Pacific,Singapore,89,13.39
8.219.140.229,2087,2087,TRUE,SIN,Asia Pacific,Singapore,145,13.39
8.219.222.98,443,443,TRUE,SIN,Asia Pacific,Singapore,205,13.39
8.222.223.34,8443,8443,TRUE,SIN,Asia Pacific,Singapore,54,13.38
8.219.139.86,2087,2087,TRUE,SIN,Asia Pacific,Singapore,199,13.37
8.222.188.56,2087,2087,TRUE,SIN,Asia Pacific,Singapore,86,13.37
47.236.173.200,8443,8443,TRUE,SIN,Asia Pacific,Singapore,162,13.37
8.219.77.222,8443,8443,TRUE,SIN,Asia Pacific,Singapore,134,13.36
47.236.171.20,2053,2053,TRUE,SIN,Asia Pacific,Singapore,110,13.36
8.219.110.88,2087,2087,TRUE,SIN,Asia Pacific,Singapore,96,13.35
8.222.208.83,2083,2083,TRUE,SIN,Asia Pacific,Singapore,74,13.35
8.219.201.174,2053,2053,TRUE,SIN,Asia Pacific,Singapore,170,13.35
8.222.212.116,2053,2053,TRUE,SIN,Asia Pacific,Singapore,97,13.35
8.219.235.164,2096,2096,TRUE,SIN,Asia Pacific,Singapore,63,13.35
8.219.78.1,2096,2096,TRUE,SIN,Asia Pacific,Singapore,164,13.34
8.222.197.251,8443,8443,TRUE,SIN,Asia Pacific,Singapore,16,13.34
47.236.146.249,2096,2096,TRUE,SIN,Asia Pacific,Singapore,71,13.34
8.217.85.14,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,675,13.34
8.222.140.87,8443,8443,TRUE,SIN,Asia Pacific,Singapore,135,13.34
47.236.19.51,2053,2053,TRUE,SIN,Asia Pacific,Singapore,116,13.34
47.236.75.113,2083,2083,TRUE,SIN,Asia Pacific,Singapore,114,13.34
8.219.40.37,2087,2087,TRUE,SIN,Asia Pacific,Singapore,161,13.34
8.219.139.86,8443,8443,TRUE,SIN,Asia Pacific,Singapore,134,13.34
8.219.145.245,2053,2053,TRUE,SIN,Asia Pacific,Singapore,71,13.34
8.219.142.191,2096,2096,TRUE,SIN,Asia Pacific,Singapore,40,13.33
8.222.138.164,2083,2083,TRUE,SIN,Asia Pacific,Singapore,153,13.32
8.222.215.228,2083,2083,TRUE,SIN,Asia Pacific,Singapore,86,13.32
8.219.220.122,8443,8443,TRUE,SIN,Asia Pacific,Singapore,130,13.32
8.219.134.63,8443,8443,TRUE,SIN,Asia Pacific,Singapore,102,13.32
8.222.219.34,443,443,TRUE,SIN,Asia Pacific,Singapore,42,13.32
47.236.75.113,8443,8443,TRUE,SIN,Asia Pacific,Singapore,97,13.3
8.222.222.64,2083,2083,TRUE,SIN,Asia Pacific,Singapore,130,13.3
8.222.149.233,2096,2096,TRUE,SIN,Asia Pacific,Singapore,135,13.3
47.236.169.236,2087,2087,TRUE,SIN,Asia Pacific,Singapore,97,13.29
8.222.193.208,2083,2083,TRUE,SIN,Asia Pacific,Singapore,36,13.29
8.219.92.89,2096,2096,TRUE,SIN,Asia Pacific,Singapore,155,13.28
8.219.163.195,2087,2087,TRUE,SIN,Asia Pacific,Singapore,90,13.28
8.222.159.252,2096,2096,TRUE,SIN,Asia Pacific,Singapore,134,13.28
8.219.247.203,2087,2087,TRUE,SIN,Asia Pacific,Singapore,107,13.27
8.222.184.198,2096,2096,TRUE,SIN,Asia Pacific,Singapore,84,13.26
8.219.103.65,2087,2087,TRUE,SIN,Asia Pacific,Singapore,103,13.26
8.219.124.227,2053,2053,TRUE,SIN,Asia Pacific,Singapore,128,13.26
8.222.162.45,2053,2053,TRUE,SIN,Asia Pacific,Singapore,72,13.26
8.219.153.44,2053,2053,TRUE,SIN,Asia Pacific,Singapore,60,13.25
47.236.163.221,2087,2087,TRUE,SIN,Asia Pacific,Singapore,119,13.25
47.236.97.254,2087,2087,TRUE,SIN,Asia Pacific,Singapore,98,13.25
47.236.10.100,2053,2053,TRUE,SIN,Asia Pacific,Singapore,121,13.24
47.236.88.181,8443,8443,TRUE,SIN,Asia Pacific,Singapore,111,13.24
8.219.154.107,8443,8443,TRUE,SIN,Asia Pacific,Singapore,346,13.24
8.219.63.193,8443,8443,TRUE,SIN,Asia Pacific,Singapore,98,13.24
8.219.110.88,2083,2083,TRUE,SIN,Asia Pacific,Singapore,132,13.23
8.219.99.8,2087,2087,TRUE,SIN,Asia Pacific,Singapore,134,13.23
47.236.19.51,2087,2087,TRUE,SIN,Asia Pacific,Singapore,148,13.23
8.222.138.175,2053,2053,TRUE,SIN,Asia Pacific,Singapore,107,13.22
8.222.236.229,8443,8443,TRUE,SIN,Asia Pacific,Singapore,72,13.22
8.219.167.113,8443,8443,TRUE,SIN,Asia Pacific,Singapore,137,13.21
8.219.72.51,443,443,TRUE,SIN,Asia Pacific,Singapore,109,13.21
47.236.206.153,2053,2053,TRUE,SIN,Asia Pacific,Singapore,38,13.2
47.236.83.239,2053,2053,TRUE,SIN,Asia Pacific,Singapore,100,13.2
8.222.184.198,8443,8443,TRUE,SIN,Asia Pacific,Singapore,75,13.19
8.219.154.107,2053,2053,TRUE,SIN,Asia Pacific,Singapore,49,13.19
47.236.97.90,2083,2083,TRUE,SIN,Asia Pacific,Singapore,128,13.19
47.236.144.196,2053,2053,TRUE,SIN,Asia Pacific,Singapore,106,13.19
47.236.166.184,2053,2053,TRUE,SIN,Asia Pacific,Singapore,172,13.18
8.222.146.222,2053,2053,TRUE,SIN,Asia Pacific,Singapore,119,13.18
47.245.89.102,2096,2096,TRUE,SIN,Asia Pacific,Singapore,88,13.18
8.219.198.34,2096,2096,TRUE,SIN,Asia Pacific,Singapore,153,13.18
8.222.215.228,2096,2096,TRUE,SIN,Asia Pacific,Singapore,70,13.18
47.236.166.84,8443,8443,TRUE,SIN,Asia Pacific,Singapore,159,13.17
8.219.247.203,2083,2083,TRUE,SIN,Asia Pacific,Singapore,145,13.17
8.219.198.34,443,443,TRUE,SIN,Asia Pacific,Singapore,65,13.16
8.222.221.86,443,443,TRUE,SIN,Asia Pacific,Singapore,88,13.16
8.219.142.229,2053,2053,TRUE,SIN,Asia Pacific,Singapore,127,13.16
8.219.233.6,2096,2096,TRUE,SIN,Asia Pacific,Singapore,142,13.15
8.219.114.201,2096,2096,TRUE,SIN,Asia Pacific,Singapore,168,13.15
8.219.206.180,2096,2096,TRUE,SIN,Asia Pacific,Singapore,139,13.14
8.222.208.83,2053,2053,TRUE,SIN,Asia Pacific,Singapore,157,13.14
8.219.123.244,2096,2096,TRUE,SIN,Asia Pacific,Singapore,108,13.14
47.236.10.182,2087,2087,TRUE,SIN,Asia Pacific,Singapore,172,13.13
8.222.252.150,2087,2087,TRUE,SIN,Asia Pacific,Singapore,138,13.13
47.237.8.82,2087,2087,TRUE,SIN,Asia Pacific,Singapore,145,13.13
47.236.94.109,2096,2096,TRUE,SIN,Asia Pacific,Singapore,158,13.13
